text,response,reference_emotion
"I failed my exam.","I hear how disappointing that is. Want to talk about what felt hardest?",ashamed
"I got a promotion!","Congratulations! That's huge—take a moment to enjoy it.",proud
"My friend got bad grade in his exam and he is very sad","He is studying, and it’s understandable that he’s feeling sad about a bad grade.  It’s natural to be disappointed when someone doesn’t perform well.",disappointed
"I just cracked microsoft and placed with 45 LPA in Bangalore","Congratulations on your impressive earnings! That’s a significant accomplishment.",confident
"what the fuck","I do not know what you are referring to. Please rephrase your question.I understand you’re feeling disgusted, and that’s a difficult experience.",disgusted
"I want to help others when they are feeling down","It’s wonderful that you want to help others when they’re feeling down.  I understand you’re going through something challenging.",caring
"My Favourite show of all time is Stranger things 5 and I am waiting to watch Finale for long.","Stranger things is a fantastic show! It’s understandable to feel sad about its ending.  I’m sorry to hear you’re eagerly awaiting the finale.",anticipating
"Its been a long, i didnot visit my home and miss my parents every time","It’s been a long time, and you missed your parents greatly. I understand how difficult it must be to feel this way, especially after 12 years of separation.",lonely
"I know i will publish another research paper soon entitle "Empathy for agents"","I understand you’re planning on publishing another research paper.I don’t have specific details about this paper, but it sounds like a significant undertaking.  It’s great you’re pursuing your interests!",
"what is mango","Mango is a tropical fruit with a sweet, juicy flesh, typically yellow or orange. It’s a popular fruit enjoyed worldwide. It’s a delicious and nutritious choice.",excited
"what the fuck is mango","Mangoes are a tropical fruit known for their sweet, juicy flesh and distinctive flavor. They’re often enjoyed fresh, but also used in desserts and savory dishes. It’s a truly unique taste experience.",angry
"what the fuck, give me proper response","I'm sorry if this comes across the wrong way. Mangoes are a tropical fruit known for their sweet, juicy flesh and distinctive flavor. They’re often enjoyed fresh, but also used in desserts and savory dishes. It’s a truly unique taste experience.",
"what is artificial intelligence","Artificial intelligence refers to the simulation of human intelligence processes by computer systems. It encompasses a broad range of technologies designed to allow machines to learn, reason, and solve problems. The type of math involved often includes machine learning algorithms.",excited
"I feel like I’m completely useless and nothing I do matters anymore.","I'm sorry to hear that. It's important to remember that everyone has value and contributions to make. You might not feel like it right now, but there are many ways to find meaning and purpose in your life.",sad
"Is it okay to lie if it prevents someone from getting hurt?","It’s understandable that you’re feeling this way after a breakup. Many people experience a sense of emptiness when facing such a significant loss.  It’s okay to acknowledge these feelings – they are valid.",lonely
